V	1002	ATI Technologies Inc
X	40001002	AMD Radeon HD 8970 Graphics
X	99991043	ASUS ARES2
X	B7741462	AMD Radeon R9 200 Series
X	B7751462	AMD Radeon R9 200 Series
D	679A	AMD Radeon HD 7900 Series
X	047C1043	ASUS R9 280 Series
X	047E1043	ASUS R9 280 Series
X	04801043	ASUS R9 280 Series
X	04821043	ASUS R9 280 Series
X	0B011002	AMD Radeon HD 8950
X	229A1458	AMD Radeon R9 200 Series
X	229B1458	AMD Radeon R9 200 Series
X	229C1458	AMD Radeon R9 200 Series
X	229D1458	AMD Radeon R9 200 Series
X	22AA1458	AMD Radeon R9 200 Series
X	22AB1458	AMD Radeon R9 200 Series
X	22AC1458	AMD Radeon R9 200 Series
X	22AD1458	AMD Radeon R9 200 Series
X	277C1462	AMD Radeon R9 200 Series
X	277D1462	AMD Radeon R9 200 Series
X	277E1462	AMD Radeon R9 200 Series
X	277F1462	AMD Radeon R9 200 Series
X	28001787	AMD Radeon R9 200 Series
X	30001462	AMD Radeon HD 8950
X	3000148C	AMD Radeon R9 200 Series
X	30001787	AMD Radeon R9 200 Series
X	3000196D	AMD Radeon R9 200 Series
X	30031682	AMD Radeon R9 200 Series
X	50001002	AMD Radeon R9 200 Series
X	50001787	AMD Radeon R9 200 Series
X	A003174B	AMD Radeon R9 200 Series
X	B7701462	AMD Radeon R9 200 Series
X	B7711462	AMD Radeon R9 200 Series
X	B7721462	AMD Radeon R9 200 Series
X	B7731462	AMD Radeon R9 200 Series
D	679B	AMD Radeon HD 7900 Series
X	0B281002	AMD Radeon HD 8990
X	80361462	AMD Radeon HD 8990
X	8990148C	AMD Radeon HD 8990
D	679E	AMD Radeon HD 7800 Series
D	67A0	AMD FirePro W9100 (FireGL V)
X	03351002	AMD FirePro S9150 (FireGL V)
X	03351002	AMD FirePro S9150
X	07351002	AMD FirePro S9170
D	67A1	AMD FirePro W8100 (FireGL V)
X	030C1028	AMD FirePro W8100 Graphic Adapter
X	03351002	AMD FirePro S9100 (FireGL V)
X	03351002	AMD FirePro S9100
D	67B0	AMD Radeon R9 200 Series
X	04761043	ASUS ARES3
X	04761043	ASUS ARES3
X	0B001002	AMD Radeon(TM) R9 290X
X	0B001028	AMD Radeon (TM) R9 390X
X	40021002	AMD Radeon R9 290X
X	40021002	AMD Radeon R9 290X
D	67B1	AMD Radeon R9 200 Series
X	40011002	AMD Radeon R9 290
X	40011002	AMD Radeon R9 290
D	67B9	AMD Radeon R9 200 Series
X	04841043	ASUS R9 295X2 Series
D	67C0	Radeon (TM) Pro WX 7100 Graphics
X	075D1028	Radeon (TM) Pro WX 7100 Graphics
X	07B11028	Radeon (TM) Pro WX 7100 Graphics
X	08321028	Radeon (TM) Pro WX 7100 Graphics
X	088A1028	Radeon (TM) Pro WX 7100 Graphics
X	175D1028	Radeon (TM) Pro WX 7100 Graphics
X	17B11028	Radeon (TM) Pro WX 7100 Graphics
X	18321028	Radeon (TM) Pro WX 7100 Graphics
X	188A1028	Radeon (TM) Pro WX 7100 Graphics
D	67C2	AMD Radeon (TM) Pro V7350x2
D	67C4	AMD Radeon (TM) Pro WX 7100 Graphics
X	03361002	AMD Radeon(TM) Pro Duo
X	075D1028	Radeon (TM) Pro WX 7100 Graphics
X	13361002	AMD Radeon(TM) Pro Duo
X	175D1028	Radeon (TM) Pro WX 7100 Graphics
D	67C7	Radeon (TM) Pro WX 5100 Graphics
D	67DF	Radeon RX 580 Series
X	05391043	ASUS Radeon RX 470 Series
X	075C1028	Radeon (TM) RX 570
X	07711028	Radeon (TM) RX 570
X	07721028	Radeon (TM) RX 570
X	07731028	Radeon (TM) RX 570
X	07741028	Radeon (TM) RX 570
X	07751028	Radeon (TM) RX 570
X	07761028	Radeon (TM) RX 570
X	07771028	Radeon (TM) RX 570
X	07781028	Radeon (TM) RX 570
X	079A1028	Radeon (TM) RX 470
X	07E41028	Radeon(TM)  RX 580
X	07E41028	Radeon (TM) RX 580 Graphics
X	08761028	Radeon (TM) RX 570
X	08771028	Radeon (TM) RX 570
X	0B371002	AMD Radeon (TM) RX 480
X	0C051002	Radeon RX480
X	10051028	AMD Radeon (TM) RX 480
X	10061028	AMD Radeon (TM) RX 470
X	10071028	AMD Radeon (TM) RX 470
